date,hour,target1,target2
2018-01-24,23,17.3108,9.4861
2018-01-24,24,18.2779,11.8639
2018-01-25,1,16.8603,15.4762
2018-01-25,2,17.0044,13.6514
2018-01-25,3,17.6209,16.2137
2018-01-25,4,18.1867,15.8319
2018-01-25,5,19.4494,19.3119
2018-01-25,6,21.4762,18.8097
2018-01-25,7,24.1501,23.8059
2018-01-25,8,25.1772,20.4764
2018-01-25,9,27.0504,19.6105
2018-01-25,10,31.5842,222.957
2018-01-25,11,28.8736,22.7179
2018-01-25,12,27.1788,39.1884
2018-01-25,13,22.9065,19.662
2018-01-25,14,20.8633,20.3695
2018-01-25,15,19.8971,19.4588
2018-01-25,16,19.8666,232.2779
2018-01-25,17,20.9956,22.8033
2018-01-25,18,29.7008,21.6754
2018-01-25,19,35.5925,25.6
2018-01-25,20,27.8588,23.9918
2018-01-25,21,24.7001,23.8656
2018-01-25,22,22.3103,22.2027
2018-01-25,23,20.6174,22.2612
2018-01-25,24,18.8068,21.1834
2018-01-26,1,20.2661,20.3144
2018-01-26,2,19.4199,20.4528
2018-01-26,3,19.3508,20.8192
2018-01-26,4,19.6112,20.4868
2018-01-26,5,20.3195,19.919
2018-01-26,6,21.4723,21.0999
2018-01-26,7,23.9506,21.3602
2018-01-26,8,25.1666,22.5648
2018-01-26,9,25.4777,21.8985
2018-01-26,10,31.3245,26.2385
2018-01-26,11,28.6486,23.4791
2018-01-26,12,26.5152,19.7843
2018-01-26,13,22.4664,20.1249
2018-01-26,14,20.4232,18.984
2018-01-26,15,19.7498,19.2108
2018-01-26,16,19.8647,18.7935
2018-01-26,17,20.6174,18.4692
2018-01-26,18,27.7787,20.6333
2018-01-26,19,32.9417,20.5543
2018-01-26,20,24.6619,20.2313
2018-01-26,21,22.8636,16.6296
2018-01-26,22,20.1604,17.9169
2018-01-26,23,19.9902,18.799
2018-01-26,24,19.2366,18.8448
2018-01-27,1,19.4932,18.4656
2018-01-27,2,20.1224,18.6816
2018-01-27,3,20.8135,19.038
2018-01-27,4,23.3678,17.862
2018-01-27,5,24.134,19.4702
2018-01-27,6,28.7434,21.3927
2018-01-27,7,36.3603,24.8217
2018-01-27,8,38.651,31.1464
2018-01-27,9,36.5922,33.5165
2018-01-27,10,40.6002,31.7684
2018-01-27,11,37.1292,36.0186
2018-01-27,12,35.4776,28.1789
2018-01-27,13,32.5907,24.8949
2018-01-27,14,30.7231,23.4841
2018-01-27,15,27.7884,25.5059
2018-01-27,16,27.0152,21.9443
2018-01-27,17,26.9881,22.0119
2018-01-27,18,33.0377,22.1455
2018-01-27,19,38.1575,23.8353
2018-01-27,20,29.3363,24.5929
2018-01-27,21,25.6561,18.8053
2018-01-27,22,21.6823,17.2982
2018-01-27,23,18.5774,16.148
2018-01-27,24,16.7447,16.7647
2018-01-28,1,17.402,17.2712
2018-01-28,2,16.5236,14.1466
2018-01-28,3,16.0129,13.1384
2018-01-28,4,16.0859,9.1284
2018-01-28,5,17.8131,13.1335
2018-01-28,6,22.4327,19.9207
2018-01-28,7,29.1085,31.5653
2018-01-28,8,27.2782,20.2763
2018-01-28,9,23.3662,15.9156
2018-01-28,10,22.1947,16.4401
2018-01-28,11,17.2503,14.8915
2018-01-28,12,15.7318,14.6788
2018-01-28,13,14.3749,15.4294
2018-01-28,14,13.7334,16.1891
2018-01-28,15,12.4167,13.38
2018-01-28,16,12.4863,11.9881
2018-01-28,17,12.8469,14.3715
2018-01-28,18,18.886,14.9103
2018-01-28,19,19.8441,20.487
2018-01-28,20,16.927,16.5665
2018-01-28,21,16.2584,16.6431
2018-01-28,22,14.9276,6.6554
2018-01-28,23,13.0942,1.8677
2018-01-28,24,9.2391,-15.8711
2018-01-29,1,7.4955,-7.9322
2018-01-29,2,9.1842,-6.5681
2018-01-29,3,8.7954,-1.1194
2018-01-29,4,10.3085,-0.3358
2018-01-29,5,12.076,4.9734
2018-01-29,6,15.6561,12.4155
2018-01-29,7,23.8396,16.9025
2018-01-29,8,25.3158,18.3477
2018-01-29,9,22.8706,18.9639
2018-01-29,10,25.5077,18.3688
2018-01-29,11,24.0651,19.4609
2018-01-29,12,23.5803,19.3827
2018-01-29,13,21.5575,20.9834
2018-01-29,14,20.7395,22.4744
2018-01-29,15,20.2264,21.6314
2018-01-29,16,20.2866,20.4688
2018-01-29,17,19.7208,20.0602
2018-01-29,18,21.7101,20.8922
2018-01-29,19,22.7815,18.1435
2018-01-29,20,18.7781,12.4036
2018-01-29,21,16.4776,4.107
2018-01-29,22,14.1653,10.982
2018-01-29,23,11.9481,6.7134
2018-01-29,24,10.8789,9.5389
2018-01-30,1,9.6628,8.1513
2018-01-30,2,7.4555,6.3239
2018-01-30,3,7.6623,8.1353
2018-01-30,4,8.812,3.5772
2018-01-30,5,11.1013,11.284
2018-01-30,6,19.0853,16.305
2018-01-30,7,29.9145,17.9584
2018-01-30,8,25.046,18.8668
2018-01-30,9,26.7555,31.8546
2018-01-30,10,27.9418,15.767
2018-01-30,11,23.5512,16.8675
2018-01-30,12,22.747,18.6981
2018-01-30,13,21.5745,18.7507
2018-01-30,14,21.5206,18.5122
2018-01-30,15,21.1288,18.4276
2018-01-30,16,22.4509,18.3834
2018-01-30,17,22.8968,18.7019
2018-01-30,18,29.541,23.4321
2018-01-30,19,37.8171,25.7949
2018-01-30,20,31.1933,25.4288
2018-01-30,21,30.9017,25.4228
2018-01-30,22,26.6146,24.1155
2018-01-30,23,24.4624,23.2563
2018-01-30,24,22.5521,21.9393
2018-01-31,1,23.4206,21.0335
2018-01-31,2,22.8353,21.6156
2018-01-31,3,22.6267,21.9458
2018-01-31,4,22.6659,22.1212
2018-01-31,5,24.759,25.3202
2018-01-31,6,29.5779,20.9854
2018-01-31,7,43.3499,20.4516
2018-01-31,8,40.3103,22.1042
2018-01-31,9,34.0158,21.5738
2018-01-31,10,33.4242,21.8445
2018-01-31,11,26.9079,19.791
2018-01-31,12,22.8852,17.4509
2018-01-31,13,20.5246,17.0029
2018-01-31,14,18.0605,15.5234
2018-01-31,15,16.7347,13.5612
2018-01-31,16,16.687,15.784
2018-01-31,17,16.2283,16.2605
2018-01-31,18,20.6174,17.0671
2018-01-31,19,24.1208,17.7781
2018-01-31,20,19.1053,14.7747
2018-01-31,21,18.375,11.5574
2018-01-31,22,16.3229,7.7007
2018-01-31,23,15.4257,-0.4672
2018-01-31,24,12.7164,-19.1521
2018-02-01,1,11.8361,2.6363
2018-02-01,2,12.9665,8.8565
2018-02-01,3,12.6268,7.7455
2018-02-01,4,12.8205,9.7631
2018-02-01,5,15.3539,10.3521
2018-02-01,6,17.2629,10.4511
2018-02-01,7,20.5914,13.2159
2018-02-01,8,21.0139,18.5826
2018-02-01,9,21.3434,18.9701
2018-02-01,10,24.3002,19.9655
2018-02-01,11,20.3611,18.485
2018-02-01,12,18.8944,18.3491
2018-02-01,13,18.2759,19.528
2018-02-01,14,18.1581,17.5298
2018-02-01,15,17.9412,17.3904
2018-02-01,16,18.1944,18.0405
2018-02-01,17,18.7131,18.6507
2018-02-01,18,21.4813,20.2248
2018-02-01,19,29.5023,23.4083
2018-02-01,20,23.6699,22.411
2018-02-01,21,22.7823,17.9062
2018-02-01,22,21.0772,18.2926
2018-02-01,23,20.5846,19.741
2018-02-01,24,19.3223,17.2505
2018-02-02,1,18.6002,18.4571
2018-02-02,2,17.7555,17.5576
2018-02-02,3,17.7442,17.8033
2018-02-02,4,17.0285,7.6026
2018-02-02,5,17.4031,13.7719
2018-02-02,6,17.7237,23.0163
2018-02-02,7,18.4653,21.674
2018-02-02,8,19.5203,13.4205
2018-02-02,9,20.1932,6.702
2018-02-02,10,20.5811,5.1658
2018-02-02,11,18.012,12.8399
2018-02-02,12,16.3438,13.9226
2018-02-02,13,16.2836,14.8378
2018-02-02,14,17.0498,16.4579
2018-02-02,15,16.7811,15.8708
2018-02-02,16,18.8856,16.8538
2018-02-02,17,19.7871,18.5251
2018-02-02,18,24.7495,20.9355
2018-02-02,19,31.923,23.2574
2018-02-02,20,27.0904,23.8159
2018-02-02,21,26.4959,23.1766
2018-02-02,22,24.0824,102.9961
2018-02-02,23,22.4055,60.8635
2018-02-02,24,20.7135,25.9484
2018-02-03,1,20.6346,23.2163
2018-02-03,2,19.6957,22.1214
2018-02-03,3,19.3172,20.4268
2018-02-03,4,18.6741,21.6884
2018-02-03,5,20.3866,31.9649
2018-02-03,6,25.5242,44.0378
2018-02-03,7,33.1649,51.2747
2018-02-03,8,30.8307,41.2787
2018-02-03,9,26.7653,47.8466
2018-02-03,10,25.1313,28.7331
2018-02-03,11,21.2976,45.3397
2018-02-03,12,20.6172,19.9629
2018-02-03,13,18.6719,19.4953
2018-02-03,14,18.0338,18.7517
2018-02-03,15,17.4759,18.6567
2018-02-03,16,18.1036,19.4712
2018-02-03,17,18.37,21.7366
2018-02-03,18,21.5969,120.4728
2018-02-03,19,24.9763,24.4675
2018-02-03,20,20.8658,40.5392
2018-02-03,21,20.8886,20.7322
2018-02-03,22,19.127,19.0401
2018-02-03,23,16.5134,18.0967
2018-02-03,24,14.9891,18.0026
2018-02-04,1,19.4363,17.9817
2018-02-04,2,19.188,18.1681
2018-02-04,3,19.8963,18.7891
2018-02-04,4,20.4999,18.9915
2018-02-04,5,22.0914,19.3847
2018-02-04,6,23.946,22.6056
2018-02-04,7,33.7822,30.7539
2018-02-04,8,34.7769,29.8988
2018-02-04,9,34.52,45.7376
2018-02-04,10,41.05,128.8492
2018-02-04,11,34.6073,117.3725
2018-02-04,12,34.6634,28.7256
2018-02-04,13,31.7019,24.4612
2018-02-04,14,29.7081,29.2308
2018-02-04,15,26.3513,23.1695
2018-02-04,16,24.8495,31.4183
2018-02-04,17,24.8677,27.1836
2018-02-04,18,32.5802,30.6817
2018-02-04,19,39.4392,46.1475
2018-02-04,20,30.7635,43.5038
2018-02-04,21,28.4433,89.1385
2018-02-04,22,26.587,23.3837
2018-02-04,23,22.3282,20.469
2018-02-04,24,20.3029,19.3248
2018-02-05,1,22.4614,19.0406
2018-02-05,2,21.6887,18.9623
2018-02-05,3,21.2882,18.7788
2018-02-05,4,22.0517,18.364
2018-02-05,5,24.5453,18.6748
2018-02-05,6,26.1046,17.9933
2018-02-05,7,35.2844,18.1821
2018-02-05,8,37.6898,20.2671
2018-02-05,9,34.2531,18.4572
2018-02-05,10,39.7904,23.0513
2018-02-05,11,36.0673,23.7359
2018-02-05,12,34.5631,25.1789
2018-02-05,13,30.7897,51.3496
2018-02-05,14,29.9855,22.7605
2018-02-05,15,27.3562,22.2546
2018-02-05,16,25.999,23.571
2018-02-05,17,24.5869,22.8374
2018-02-05,18,28.1582,21.4976
2018-02-05,19,30.6115,22.7982
2018-02-05,20,26.5344,26.4666
2018-02-05,21,24.1384,21.4498
2018-02-05,22,22.4422,16.6046
2018-02-05,23,19.3017,16.6294
2018-02-05,24,16.1183,16.4825
2018-02-06,1,18.9492,17.0504
2018-02-06,2,16.7871,18.9651
2018-02-06,3,16.9306,19.1048
2018-02-06,4,18.3369,21.2053
2018-02-06,5,20.7676,19.2402
2018-02-06,6,24.9283,19.9295
2018-02-06,7,36.9388,25.8119
2018-02-06,8,35.338,72.2822
2018-02-06,9,34.7891,24.8454
2018-02-06,10,36.3514,26.4923
2018-02-06,11,30.3726,36.3803
2018-02-06,12,24.532,31.3251
2018-02-06,13,22.675,25.3466
2018-02-06,14,21.2313,28.5862
2018-02-06,15,20.0246,24.182
2018-02-06,16,19.1149,21.9516
2018-02-06,17,18.275,13.2462
2018-02-06,18,19.7899,24.0314
2018-02-06,19,19.1829,18.7311
2018-02-06,20,18.3517,15.3348
2018-02-06,21,17.0283,16.7631
2018-02-06,22,15.5884,16.5686
2018-02-06,23,12.6729,7.7758
2018-02-06,24,9.9295,1.4063
2018-02-07,1,12.1917,-1.4736
2018-02-07,2,12.4201,9.5021
2018-02-07,3,12.851,13.1705
2018-02-07,4,14.0565,13.6806
2018-02-07,5,16.015,15.3462
2018-02-07,6,19.8765,17.5585
2018-02-07,7,23.3609,14.4122
2018-02-07,8,23.0397,16.122
2018-02-07,9,24.2955,32.3497
2018-02-07,10,27.363,18.7527
2018-02-07,11,25.7302,24.4855
2018-02-07,12,23.6919,24.203
2018-02-07,13,22.502,23.127
2018-02-07,14,22.0115,22.4223
2018-02-07,15,21.4014,17.9172
2018-02-07,16,21.3132,17.0783
2018-02-07,17,20.8788,16.924
2018-02-07,18,22.9933,11.9902
2018-02-07,19,24.7482,26.5994
2018-02-07,20,21.515,12.0407
2018-02-07,21,18.6497,20.4767
2018-02-07,22,17.4223,15.08
2018-02-07,23,16.1905,16.6921
2018-02-07,24,14.2535,8.6494
2018-02-08,1,15.957,12.2487
2018-02-08,2,15.1878,11.8539
2018-02-08,3,14.4069,11.7598
2018-02-08,4,14.7259,14.7558
2018-02-08,5,17.0065,15.8143
2018-02-08,6,18.8071,18.4904
2018-02-08,7,20.3844,17.9155
2018-02-08,8,22.9718,18.4073
2018-02-08,9,24.7417,18.7174
2018-02-08,10,27.7358,19.642
2018-02-08,11,28.1154,22.8642
2018-02-08,12,26.0445,35.2383
2018-02-08,13,24.2525,25.9598
2018-02-08,14,23.7809,22.6731
2018-02-08,15,23.175,21.174
2018-02-08,16,23.0105,20.268
2018-02-08,17,22.7203,21.5298
2018-02-08,18,25.7321,30.8138
2018-02-08,19,29.9074,32.1719
2018-02-08,20,25.6483,22.7966
2018-02-08,21,24.0162,23.6257
